19:52:59.156 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:52:59.157 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:04.385 [http-nio-8089-exec-2] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:53:04.394 [http-nio-8089-exec-5] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:04.394 [http-nio-8089-exec-5] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:33.620 [main] INFO  c.a.a.AgricultureApplication[logStartupProfileInfo] - The following profiles are active: dev
19:53:35.375 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - .............初始化 aosica-agriculture 数据..................
19:53:35.402 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - ............数据 aosica-agriculture 连接成功..................
19:53:36.312 [main] INFO  c.a.a.config.MybatisConfiguration[pageHelper] - ************ init MyBatis pageHelper  *********** 
19:53:37.566 [main] INFO  c.a.a.AgricultureApplication[logStarted] - Started AgricultureApplication in 5.908 seconds (JVM running for 6.46)
19:53:41.969 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:41.973 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:46.292 [http-nio-8089-exec-2] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:53:46.297 [http-nio-8089-exec-7] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:46.298 [http-nio-8089-exec-7] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:47.423 [http-nio-8089-exec-4] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:53:47.430 [http-nio-8089-exec-5] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:47.430 [http-nio-8089-exec-5] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:48.415 [http-nio-8089-exec-6] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:53:48.421 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:48.422 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:55.519 [http-nio-8089-exec-8] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:53:55.527 [http-nio-8089-exec-9] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:55.527 [http-nio-8089-exec-9] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:56.217 [http-nio-8089-exec-10] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:53:56.224 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:56.225 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:56.857 [http-nio-8089-exec-2] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:53:56.864 [http-nio-8089-exec-7] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:56.864 [http-nio-8089-exec-7] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:57.583 [http-nio-8089-exec-4] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:53:57.589 [http-nio-8089-exec-5] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:57.590 [http-nio-8089-exec-5] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:58.290 [http-nio-8089-exec-6] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:53:58.296 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:58.297 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:53:59.278 [http-nio-8089-exec-8] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:53:59.285 [http-nio-8089-exec-9] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:53:59.285 [http-nio-8089-exec-9] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:54:00.514 [http-nio-8089-exec-10] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
